排名,选手,比赛场次,胜场,胜率,场均KDA,场均击杀数,场均死亡数,场均助攻数,场均经济,分均经济,经济占比,场均伤害,分均伤害,伤害占比,伤害转化率,场均承伤,分均承伤,承伤占比,场均推塔数,推塔占比,参团率,场均比赛时长
1,花月,1,1,100%,9,5.0,1.0,4.0,7554.0,755.0,21%,49291.0,4518.5,21.8%,103.9%,23929.0,1832.3,14.8%,3.0,37.5%,75%,00:10:55
2,无铭,2,2,100%,11.5,0.0,1.0,11.5,6248.5,475.0,13.6%,19384.5,1341.6,6.4%,47.1%,50835.5,3075.0,23.2%,0.5,6.2%,77.5%,00:14:26
3,自渡,1,1,100%,8,1.0,0.0,7.0,6322.0,632.0,17.6%,31683.0,2904.3,14%,79.8%,51490.0,4251.1,34.3%,1.0,12.5%,66%,00:10:55
4,归期,6,5,83.3%,5.3,2.5,1.3,4.3,9835.1,649.5,19.7%,51265.6,3202.0,17.5%,89.8%,72338.8,3703.2,22.5%,1.1,14.5%,62.5%,00:15:28
5,风劫,5,4,80%,4.2,3.6,2.6,5.4,13112.8,743.0,23.7%,97282.4,5247.4,26.6%,112.1%,70503.0,2951.7,16.1%,3.6,47%,73.4%,00:18:27
6,月色,8,6,75%,5.1,0.5,1.6,6.8,10407.1,603.6,19.2%,116158.1,6026.9,28.6%,148.2%,46715.5,2136.2,11.9%,0.1,1.3%,65.8%,00:17:60
7,钟意,11,8,72.7%,6.2,3.0,1.7,5.0,12402.3,743.9,23.9%,57220.6,3316.3,16.9%,72.4%,97741.9,3933.8,21.7%,1.1,19.1%,69%,00:16:60
8,帆帆,60,42,70%,7.1,0.8,1.2,8.1,7110.5,454.3,14.5%,38638.1,2241.5,10.8%,75.2%,71765.4,3672.4,21.4%,0.1,2.8%,79.8%,00:16:17
9,妖刀,75,52,69.3%,6,3.2,1.4,4.6,11987.5,756.5,24.3%,88852.2,5265.2,26.4%,107.8%,62970.5,2837.4,16.4%,2.5,38.9%,70.4%,00:16:25
10,小胖,64,44,68.7%,5.4,2.7,1.6,4.6,11793.1,750.0,24%,64148.5,3941.9,20%,84.2%,97764.0,4186.4,24.5%,1.2,22%,70.5%,00:16:18
11,向鱼,67,46,68.6%,6.2,2.2,1.2,5.2,8693.5,554.1,17.8%,92274.1,5483.4,27%,151.3%,38256.8,2009.7,11.4%,0.3,4.9%,66%,00:16:13
12,Fly,69,47,68.1%,4.7,1.9,1.7,4.7,9333.5,591.2,19%,53718.0,3201.7,15.9%,83.6%,92917.1,4485.6,26%,1.2,17.8%,59.6%,00:16:29
13,一笙,15,10,66.6%,6.3,0.9,1.5,7.8,7272.8,448.8,14.6%,34947.3,1997.5,10.2%,70.1%,92714.0,4731.2,24.8%,0.0,0.7%,85.7%,00:16:53
14,誓约,29,18,62%,4,2.1,2.0,3.8,9791.5,620.3,19.9%,44036.7,2672.7,15.6%,79.5%,85698.4,4263.1,23.9%,0.7,13.4%,68.6%,00:16:29
15,一门,17,10,58.8%,6.7,0.6,1.2,7.2,7622.2,483.6,15.2%,26492.1,1567.5,8.9%,58.4%,79300.3,3947.8,24.4%,0.0,0.7%,82.7%,00:16:33
16,暖阳,81,46,56.7%,4.4,2.8,1.9,4.0,12184.8,740.0,23.6%,55187.9,3135.1,17.7%,75.5%,93275.3,3787.7,21%,1.1,15.9%,67.8%,00:17:06
17,梓墨,81,46,56.7%,4.5,1.7,1.8,4.7,9598.9,584.1,18.8%,51998.2,3007.6,17.2%,92.8%,102158.2,4897.5,27.7%,0.8,14%,61.2%,00:17:06
18,星宇,81,46,56.7%,5.9,0.5,1.4,7.0,7515.7,458.1,14.7%,24288.2,1440.6,8.2%,56.1%,85062.3,4222.7,23.3%,0.1,2.8%,74.3%,00:17:06
19,花卷,81,46,56.7%,5.2,2.0,1.5,4.9,9345.4,563.9,18.1%,88657.4,5068.8,28.7%,157.8%,43114.5,2173.3,12.1%,0.1,2.3%,70.2%,00:17:06
